[2021-10-08 19:31:26.983] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/lua/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/lua/package.json'
[2021-10-08 19:31:26.984] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/merge-conflict/package.json'
[2021-10-08 19:31:26.984] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/hlsl/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/hlsl/package.json'
[2021-10-08 19:31:26.986] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai/package.json'
[2021-10-08 19:31:26.986] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/typescript-basics/package.json'
[2021-10-08 19:31:26.988] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-solarized-dark/package.json'
[2021-10-08 19:31:26.989] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/typescript-language-features/package.json'
[2021-10-08 19:31:26.989] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/python/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/python/package.json'
[2021-10-08 19:31:26.990] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/powershell/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/powershell/package.json'
[2021-10-08 19:31:26.991] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-defaults/package.json'
[2021-10-08 19:31:26.991] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-quietlight/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-quietlight/package.json'
[2021-10-08 19:31:26.992] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/sql/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/sql/package.json'
[2021-10-08 19:31:34.201] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/css-language-features/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/css-language-features/package.json'
[2021-10-08 19:31:34.202] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-tomorrow-night-blue/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-tomorrow-night-blue/package.json'
[2021-10-08 19:31:34.203] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-abyss/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-abyss/package.json'
[2021-10-08 19:31:34.204] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-red/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-red/package.json'
[2021-10-08 19:31:34.205] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-kimbie-dark/package.json'
[2021-10-08 19:31:34.205] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-seti/package.json'
[2021-10-08 19:31:34.206] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/scss/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/scss/package.json'
[2021-10-08 19:31:34.206] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai-dimmed/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/theme-monokai-dimmed/package.json'
[2021-10-08 19:31:34.207] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/perl/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/perl/package.json'
[2021-10-08 19:31:34.207] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/npm/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/npm/package.json'
[2021-10-08 19:31:34.208] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/pug/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/pug/package.json'
[2021-10-08 19:31:34.208] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/rust/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/rust/package.json'
[2021-10-08 19:31:34.209] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/markdown-language-features/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/markdown-language-features/package.json'
[2021-10-08 19:31:34.209] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/ruby/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/ruby/package.json'
[2021-10-08 19:31:34.209] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/r/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/r/package.json'
[2021-10-08 19:31:34.210] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/swift/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/swift/package.json'
[2021-10-08 19:31:34.211] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/objective-c/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/objective-c/package.json'
[2021-10-08 19:31:34.212] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/razor/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/razor/package.json'
[2021-10-08 19:31:34.213] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/shaderlab/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/shaderlab/package.json'
[2021-10-08 19:31:34.213] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/vb/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/vb/package.json'
[2021-10-08 19:32:23.935] [renderer1] [error] EACCES: permission denied, open '/usr/lib/code/extensions/git/package.json': Error: EACCES: permission denied, open '/usr/lib/code/extensions/git/package.json'
